id,heading,publisher,amplifiesdisadvantagedvoice,dispargesdisadvantaged,recognisesintersectionality,provideshumanexamples,focusesonsolutions,firstnations,racialminorities,women,children,youngpeople,unemployedorprecariouslyemployed,peoplewithdisabilitiesorchronichealthconditions,shelter,healthcare_health,familyrelations,violence,voice,work,crime_criminaljustice,inequality,prejudiceanddiscrimination_general
1,Migrant workers deserve state support,Fairfax,0.666666667,0,0,1,0.666666667,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Celebrating the migrant mosaic,News,0.833333333,0.5,0,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
3,IT’S HOW CHINA WOULD REACT,News,0.5,1,0.5,0,0.333333333,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,Balance needed on new gig worker laws,Fairfax,0.166666667,0,0.5,0,0.666666667,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,Chinese Australians' key role in virus fight,Fairfax,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
6,Too soon to talk about silver linings?,Fairfax,0.5,0,0.5,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
7,Battle against power and glory,Fairfax,0.333333333,0,0,0.5,0.666666667,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8,Bear of racism too easily roused,Fairfax,1,0,0,1,0.333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Black players a beacon of hope for kids,Fairfax,0.833333333,0,0,1,0.666666667,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10,Pathfinder' is treading a fine line,Fairfax,1,0,0,1,0.333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"Policing is a service, not a force",Fairfax,0.666666667,1,0.5,1,0.666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
